Players,Nationality,Type,Price Paid,Team,Player_bat,Mat_bat,Inns_bat,NO,Runs_bat,HS,Avg_bat,BF,SR_bat,100,50,4s,POS,Player_bowl,Mat_bowl,Inns_bowl,Ov,Runs_bowl,Wkts,Avg_bowl,Econ,SR_bowl
Avesh Khan,Indian,Bowler,100000000,LSG,Avesh Khan,13.0,4.0,3.0,22.0,12,22,13.0,169.23,0.0,0.0,0.0,11.0,Avesh Khan,13.0,13.0,47.4,416.0,18.0,23.11,8.72,15.88
Manan Vohra,Indian,Batsman,2000000,LSG,Manan Vohra,2.0,1.0,0.0,19.0,19,19,11.0,172.72,0.0,0.0,1.0,,,,,,,,,,
Evin Lewis,Overseas,Batsman,20000000,LSG,Evin Lewis,6.0,5.0,2.0,73.0,55*,24.33,56.0,130.35,0.0,1.0,8.0,,,,,,,,,,
Mohsin Khan,Indian,Bowler,2000000,LSG,Mohsin Khan,9.0,3.0,2.0,23.0,13*,23,16.0,143.75,0.0,0.0,2.0,21.0,Mohsin Khan,9.0,9.0,33.0,197.0,14.0,14.07,5.96,14.14
Ayush Badoni,Indian,All-Rounder,2000000,LSG,Ayush Badoni,13.0,11.0,3.0,161.0,54,20.13,130.0,123.84,0.0,1.0,11.0,81.0,Ayush Badoni,13.0,2.0,2.0,11.0,2.0,5.5,5.5,6.0
Karan Sharma,Indian,All-Rounder,2000000,LSG,Karan Sharma,1.0,1.0,0.0,4.0,4,4,4.0,100.0,0.0,0.0,1.0,,,,,,,,,,
Ishan Kishan,Indian,Wicket Keeper,152500000,MI,Ishan Kishan,14.0,14.0,1.0,418.0,81*,32.15,348.0,120.11,0.0,3.0,45.0,,,,,,,,,,
Dewald Brevis,Overseas,Batsman,30000000,MI,Dewald Brevis,7.0,7.0,0.0,161.0,49,23,113.0,142.47,0.0,0.0,14.0,103.0,Dewald Brevis,7.0,1.0,0.3,8.0,1.0,8.0,16.0,3.0
Anmolpreet Singh,Indian,Batsman,2000000,MI,Anmolpreet Singh,2.0,2.0,0.0,13.0,8,6.5,13.0,100.0,0.0,0.0,1.0,,,,,,,,,,
Basil Thampi,Indian,Bowler,3000000,MI,,,,,,,,,,,,,64.0,Basil Thampi,5.0,5.0,16.0,152.0,5.0,30.4,9.5,19.2
Murugan Ashwin,Indian,Bowler,16000000,MI,Murugan Ashwin,8.0,5.0,2.0,12.0,6,4,14.0,85.71,0.0,0.0,1.0,36.0,Murugan Ashwin,8.0,8.0,29.0,228.0,9.0,25.33,7.86,19.33
Jaydev Unadkat,Indian,Bowler,13000000,MI,Jaydev Unadkat,5.0,5.0,2.0,59.0,19*,19.67,37.0,159.45,0.0,0.0,4.0,57.0,Jaydev Unadkat,5.0,5.0,20.0,190.0,6.0,31.66,9.5,20.0
Mayank Markande,Indian,Bowler,6500000,MI,,,,,,,,,,,,,93.0,Mayank Markande,2.0,2.0,7.0,57.0,1.0,57.0,8.14,42.0
Daniel Sams,Overseas,All-Rounder,26000000,MI,Daniel Sams,11.0,10.0,3.0,38.0,15,5.43,36.0,105.55,0.0,0.0,1.0,26.0,Daniel Sams,11.0,11.0,42.0,370.0,13.0,28.46,8.8,19.38
Tymal Mills,Overseas,Bowler,15000000,MI,,,,,,,,,,,,,59.0,Tymal Mills,5.0,5.0,17.0,190.0,6.0,31.66,11.17,17.0
Tim David,Overseas,All-Rounder,82500000,MI,Tim David,8.0,8.0,3.0,186.0,46,37.2,86.0,216.27,0.0,0.0,12.0,,,,,,,,,,
Ramandeep Singh,Indian,All-Rounder,2000000,MI,Ramandeep Singh,5.0,4.0,2.0,45.0,14*,22.5,40.0,112.5,0.0,0.0,3.0,56.0,Ramandeep Singh,5.0,3.0,6.0,54.0,6.0,9.0,9.0,6.0
Fabian Allen,Overseas,All-Rounder,7500000,MI,Fabian Allen,1.0,1.0,0.0,8.0,8,8,7.0,114.28,0.0,0.0,1.0,100.0,Fabian Allen,1.0,1.0,4.0,46.0,1.0,46.0,11.5,24.0
Riley Meredith,Overseas,Bowler,10000000,MI,,,,,,,,,,,,,43.0,Riley Meredith,8.0,8.0,28.0,236.0,8.0,29.5,8.42,21.0
Hrithik Shokeen,Indian,All-Rounder,2000000,MI,Hrithik Shokeen,5.0,3.0,1.0,43.0,25,21.5,48.0,89.58,0.0,0.0,5.0,85.0,Hrithik Shokeen,5.0,5.0,15.0,127.0,2.0,63.5,8.46,45.0
Shikhar Dhawan,Indian,Batsman,82500000,PK,Shikhar Dhawan,14.0,14.0,2.0,460.0,88*,38.33,375.0,122.66,0.0,3.0,47.0,,,,,,,,,,
Kagiso Rabada,Overseas,Bowler,92500000,PK,Kagiso Rabada,13.0,8.0,3.0,48.0,25,9.6,43.0,111.62,0.0,0.0,5.0,3.0,Kagiso Rabada,13.0,13.0,48.0,406.0,23.0,17.65,8.45,12.52
Jonny Bairstow,Overseas,Wicket Keeper,67500000,PK,Jonny Bairstow,11.0,11.0,0.0,253.0,66,23,175.0,144.57,0.0,2.0,34.0,,,,,,,,,,
Rahul Chahar,Indian,Bowler,52500000,PK,Rahul Chahar,13.0,8.0,2.0,77.0,25*,12.83,68.0,113.23,0.0,0.0,7.0,22.0,Rahul Chahar,13.0,13.0,46.4,360.0,14.0,25.71,7.71,20.0
Harpreet Brar,Indian,All-Rounder,38000000,PK,Harpreet Brar,5.0,3.0,0.0,22.0,14,7.33,25.0,88.0,0.0,0.0,1.0,72.0,Harpreet Brar,5.0,5.0,16.0,146.0,4.0,36.5,9.12,24.0
Shahrukh Khan,Indian,All-Rounder,90000000,PK,Shahrukh Khan,8.0,8.0,1.0,117.0,26,16.71,108.0,108.33,0.0,0.0,4.0,,,,,,,,,,
Jitesh Sharma,Indian,Wicket Keeper,2000000,PK,Jitesh Sharma,12.0,10.0,2.0,234.0,44,29.25,143.0,163.63,0.0,0.0,22.0,,,,,,,,,,
Liam Livingstone,Overseas,All-Rounder,115000000,PK,Liam Livingstone,14.0,14.0,2.0,437.0,70,36.42,240.0,182.08,0.0,4.0,29.0,55.0,Liam Livingstone,14.0,12.0,23.0,202.0,6.0,33.66,8.78,23.0
Odean Smith,Overseas,All-Rounder,60000000,PK,Odean Smith,6.0,6.0,3.0,51.0,25*,17,44.0,115.9,0.0,0.0,1.0,60.0,Odean Smith,6.0,6.0,15.0,178.0,6.0,29.66,11.86,15.0
Sandeep Sharma,Indian,Bowler,5000000,PK,,,,,,,,,,,,,84.0,Sandeep Sharma,5.0,5.0,20.0,153.0,2.0,76.5,7.65,60.0
Rishi Dhawan,Indian,All-Rounder,5500000,PK,Rishi Dhawan,6.0,4.0,2.0,37.0,21*,18.5,40.0,92.5,0.0,0.0,4.0,52.0,Rishi Dhawan,6.0,6.0,19.0,156.0,6.0,26.0,8.21,19.0
Nathan Ellis,Overseas,Bowler,7500000,PK,,,,,,,,,,,,,77.0,Nathan Ellis,2.0,2.0,6.0,55.0,3.0,18.33,9.16,12.0
Prerak Mankad,Indian,All-Rounder,2000000,PK,Prerak Mankad,1.0,1.0,1.0,4.0,4*,-,1.0,400.0,0.0,0.0,1.0,,,,,,,,,,
Vaibhav Arora,Indian,Bowler,20000000,PK,Vaibhav Arora,5.0,4.0,2.0,5.0,2*,2.5,13.0,38.46,0.0,0.0,0.0,78.0,Vaibhav Arora,5.0,5.0,17.5,164.0,3.0,54.66,9.19,35.66
Bhanuka Rajapaksa,Overseas,Batsman,5000000,PK,Bhanuka Rajapaksa,9.0,9.0,0.0,206.0,43,22.89,129.0,159.68,0.0,0.0,16.0,,,,,,,,,,
Trent Boult,Overseas,Bowler,80000000,RR,Trent Boult,16.0,8.0,6.0,40.0,17*,20,29.0,137.93,0.0,0.0,2.0,15.0,Trent Boult,16.0,16.0,62.0,492.0,16.0,30.75,7.93,23.25
Shimron Hetmyer,Overseas,Batsman,85000000,RR,Shimron Hetmyer,15.0,15.0,8.0,314.0,59*,44.86,204.0,153.92,0.0,1.0,21.0,,,,,,,,,,
Devdutt Padikkal,Indian,Batsman,77500000,RR,Devdutt Padikkal,17.0,17.0,0.0,376.0,54,22.12,306.0,122.87,0.0,1.0,40.0,,,,,,,,,,
Prasidh Krishna,Indian,Bowler,100000000,RR,Prasidh Krishna,17.0,3.0,2.0,6.0,4*,6,12.0,50.0,0.0,0.0,0.0,10.0,Prasidh Krishna,17.0,17.0,66.3,551.0,19.0,29.0,8.28,21.0
Yuzvendra Chahal,Indian,Bowler,65000000,RR,Yuzvendra Chahal,17.0,2.0,1.0,5.0,5,5,8.0,62.5,0.0,0.0,0.0,1.0,Yuzvendra Chahal,17.0,17.0,68.0,527.0,27.0,19.51,7.75,15.11
Riyan Parag,Indian,All-Rounder,38000000,RR,Riyan Parag,17.0,14.0,3.0,183.0,56*,16.64,132.0,138.63,0.0,1.0,11.0,102.0,Riyan Parag,17.0,4.0,4.0,59.0,1.0,59.0,14.75,24.0
James Neesham,Overseas,All-Rounder,15000000,RR,James Neesham,2.0,2.0,0.0,31.0,17,15.5,27.0,114.81,0.0,0.0,3.0,,,,,,,,,,
Nathan Coulter-Nile,Overseas,Bowler,20000000,RR,Nathan Coulter-Nile,1.0,1.0,1.0,1.0,1*,-,2.0,50.0,0.0,0.0,0.0,,,,,,,,,,
Navdeep Saini,Indian,Bowler,26000000,RR,Navdeep Saini,2.0,1.0,0.0,2.0,2,2,2.0,100.0,0.0,0.0,0.0,80.0,Navdeep Saini,2.0,2.0,6.0,72.0,3.0,24.0,12.0,12.0
Kuldeep Sen,Indian,Bowler,2000000,RR,,,,,,,,,,,,,44.0,Kuldeep Sen,7.0,7.0,25.1,237.0,8.0,29.62,9.41,18.87
Karun Nair,Indian,Batsman,14000000,RR,Karun Nair,3.0,2.0,0.0,16.0,13,8,18.0,88.88,0.0,0.0,1.0,,,,,,,,,,
Daryl Mitchell,Overseas,All-Rounder,7500000,RR,Daryl Mitchell,2.0,2.0,0.0,33.0,17,16.5,44.0,75.0,0.0,0.0,1.0,,,,,,,,,,
Faf Du Plessis,Overseas,Batsman,70000000,RCB,Faf Du Plessis,16.0,16.0,1.0,468.0,96,31.2,367.0,127.52,0.0,3.0,49.0,,,,,,,,,,
Wanindu Hasaranga,Overseas,All-Rounder,107500000,RCB,Wanindu Hasaranga,16.0,7.0,0.0,38.0,18,5.43,43.0,88.37,0.0,0.0,4.0,2.0,Wanindu Hasaranga,16.0,16.0,57.0,430.0,26.0,16.53,7.54,13.15
Harshal Patel,Indian,All-Rounder,107500000,RCB,Harshal Patel,15.0,8.0,3.0,43.0,11,8.6,39.0,110.25,0.0,0.0,4.0,9.0,Harshal Patel,15.0,15.0,53.3,410.0,19.0,21.57,7.66,16.89
Dinesh Karthik,Indian,Wicket Keeper,55000000,RCB,Dinesh Karthik,16.0,16.0,10.0,330.0,66*,55,180.0,183.33,0.0,1.0,27.0,,,,,,,,,,
Josh Hazlewood,Overseas,Bowler,77500000,RCB,Josh Hazlewood,12.0,5.0,5.0,18.0,7*,-,26.0,69.23,0.0,0.0,1.0,7.0,Josh Hazlewood,12.0,12.0,46.3,377.0,20.0,18.85,8.1,13.95
Anuj Rawat,Indian,Wicket Keeper,34000000,RCB,Anuj Rawat,8.0,8.0,0.0,129.0,66,16.13,118.0,109.32,0.0,1.0,10.0,,,,,,,,,,
Akash Deep,Indian,Bowler,2000000,RCB,,,,,,,,,,,,,66.0,Akash Deep,5.0,5.0,18.5,205.0,5.0,41.0,10.88,22.6
Mahipal Lomror,Indian,All-Rounder,9500000,RCB,Mahipal Lomror,7.0,5.0,0.0,86.0,42,17.2,57.0,150.87,0.0,0.0,7.0,,,,,,,,,,
Sherfane Rutherford,Overseas,All-Rounder,10000000,RCB,Sherfane Rutherford,3.0,2.0,0.0,33.0,28,16.5,50.0,66.0,0.0,0.0,1.0,,,,,,,,,,
David Willey,Overseas,All-Rounder,20000000,RCB,David Willey,4.0,2.0,0.0,18.0,18,9,30.0,60.0,0.0,0.0,3.0,91.0,David Willey,4.0,4.0,11.0,72.0,1.0,72.0,6.54,66.0
Washington Sundar,Indian,All-Rounder,87500000,SRH,Washington Sundar,9.0,7.0,0.0,101.0,40,14.43,69.0,146.37,0.0,0.0,9.0,54.0,Washington Sundar,9.0,8.0,28.0,239.0,6.0,39.83,8.53,28.0
Nicholas Pooran,Overseas,Wicket Keeper,107500000,SRH,Nicholas Pooran,14.0,13.0,5.0,306.0,64*,38.25,212.0,144.33,0.0,2.0,16.0,,,,,,,,,,
Bhuvneshwar Kumar,Indian,Bowler,42000000,SRH,Bhuvneshwar Kumar,14.0,6.0,3.0,24.0,8,8,26.0,92.3,0.0,0.0,3.0,27.0,Bhuvneshwar Kumar,14.0,14.0,52.1,383.0,12.0,31.91,7.34,26.08
Priyam Garg,Indian,Batsman,2000000,SRH,Priyam Garg,2.0,2.0,0.0,46.0,42,23,33.0,139.39,0.0,0.0,4.0,,,,,,,,,,
Rahul Tripathi,Indian,Batsman,85000000,SRH,Rahul Tripathi,14.0,14.0,3.0,413.0,76,37.55,261.0,158.23,0.0,3.0,40.0,,,,,,,,,,
Abhishek Sharma,Indian,All-Rounder,65000000,SRH,Abhishek Sharma,14.0,14.0,0.0,426.0,75,30.43,320.0,133.12,0.0,2.0,47.0,,,,,,,,,,
Kartik Tyagi,Indian,Bowler,40000000,SRH,Kartik Tyagi,2.0,2.0,0.0,7.0,7,3.5,6.0,116.66,0.0,0.0,1.0,95.0,Kartik Tyagi,2.0,2.0,8.0,79.0,1.0,79.0,9.87,48.0
Shreyas Gopal,Indian,Bowler,7500000,SRH,Shreyas Gopal,1.0,1.0,1.0,9.0,9*,-,7.0,128.57,0.0,0.0,2.0,99.0,Shreyas Gopal,1.0,1.0,3.0,34.0,1.0,34.0,11.33,18.0
Jagadeesha Suchith,Indian,Bowler,2000000,SRH,Jagadeesha Suchith,5.0,2.0,0.0,2.0,2,1,8.0,25.0,0.0,0.0,0.0,45.0,Jagadeesha Suchith,5.0,5.0,18.0,140.0,7.0,20.0,7.77,15.42
Aiden Markram,Overseas,Batsman,26000000,SRH,Aiden Markram,14.0,12.0,4.0,381.0,68*,47.63,274.0,139.05,0.0,3.0,25.0,97.0,Aiden Markram,14.0,4.0,6.0,64.0,1.0,64.0,10.66,36.0
Marco Jansen,Overseas,All-Rounder,42000000,SRH,Marco Jansen,8.0,3.0,2.0,9.0,8*,9,7.0,128.57,0.0,0.0,0.0,46.0,Marco Jansen,8.0,8.0,32.0,274.0,7.0,39.14,8.56,27.42
Romario Shepherd,Overseas,All-Rounder,77500000,SRH,Romario Shepherd,3.0,3.0,1.0,58.0,26*,29,41.0,141.46,0.0,0.0,2.0,79.0,Romario Shepherd,3.0,3.0,9.0,98.0,3.0,32.66,10.88,18.0
Fazalhaq Farooqi,Overseas,Bowler,5000000,SRH,Fazalhaq Farooqi,3.0,1.0,1.0,2.0,2*,-,8.0,25.0,0.0,0.0,0.0,86.0,Fazalhaq Farooqi,3.0,3.0,12.0,110.0,2.0,55.0,9.16,36.0
Sean Abbott,Overseas,Bowler,24000000,SRH,Sean Abbott,1.0,1.0,0.0,7.0,7,7,5.0,140.0,0.0,0.0,0.0,101.0,Sean Abbott,1.0,1.0,4.0,47.0,1.0,47.0,11.75,24.0
Shashank Singh,Indian,All-Rounder,2000000,SRH,Shashank Singh,10.0,5.0,1.0,69.0,25*,17.25,47.0,146.8,0.0,0.0,5.0,,,,,,,,,,
